FECHA DEL CAMBIO: 1/02/2023",,,,,,,,,,,,"ASUNTO DEL CAMBIO: Se modifica el encabezado y se integra dentro del SGI.
ASUNTO DEL CAMBIO: Se incluye el espacio para las observaciones por parte de control de obra.
 ASUNTO DEL CAMBIO: Se incluye espacio para reporte de instalación de puentes y entrega al CTE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCIÓN DE EJECUTADO,,,,,,,,,,,domingo,,2026-02-01 00:00:00,,,DESCRIPCIÓN PROGRAMADO,,,lunes,,,,,2026-02-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. SUMINISTROS,,,,,,,,,,,,,,,,,,,,,,,,,"OBSERVACIONES 
CONTROL DE OBRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ÍTEM,ACTIVIDAD,,,,,ACUMULADO,,DESCRIPCIÓN DE EJECUTADO,,,,,,,,DESCRIPCIÓN PROGRAMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T012,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T012,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T013,T13,C2,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T013,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T013,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T013,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T014,T14,C2,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T014,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T014,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T014,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T015,T15,B4,HELICOIDAL,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,MEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T015,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T015,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T015,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T016,T16,A5,HELICOIDAL,1,1,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T016,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T016,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T016,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T017,T17,A3,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T017,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T017,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T017,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T018,T18,B2,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,IJAJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T018,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T018,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T018,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T019,T19,A5,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,IJAJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T019,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T019,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T019,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T020,T20,A6,HELICOIDAL,1,1,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,JULIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T020,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T020,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T020,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
