,,SEMAFORO SOCIO-AMBIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEPARTA MENTO,MUNICIPIO,UNIDAD TERRITORIAL,PREDIO,PIPC - MUNICIPIO,,PIPC - UNIDAD TERRITORIAL,,TORRE,GESTION AMBIENTAL,,,,,,,,,,LIBERACION PREDIAL PDO,,,SEMÁFORO LIBERACION - AMBIENTAL,APROV. FORESTAL VANO,,RESCATE ARQUELOGICO,,OBSERVACIONES ,,,,,,
,,,,,,,,,,AHUYENTMIENTO DE ESPECIES,,APROV. FORESTAL SITIO DE TORRE,,ARQUEOLOGIA POLIGONOS / PROSPECCIÓN,,ARQUEOLOGIA TORRE,CAMBIO MENOR L.A.,ADECUACION DE ACCESOS,,,,,,,,,,,,,,,,
,,,,SANTAMARIA,,0,,0,T39,"3/12/2024
11/01/2025",1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T40,"5/12/2024
13/01/2025",1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T41,"5/12/2024
13/01/2025",1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T42,2024-12-04 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,HACIENDA CARDONAL,,0,,0,T43,2024-02-04 00:00:00,1,N/A,,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T44,2025-02-15 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T45,2025-01-27 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T46,2024-12-07 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T47,2025-01-20 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T48,2025-02-13 00:00:00,1,2025-02-27 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,LA ESPERANZA,,0,,0,T49,2025-02-27 00:00:00,1,2025-02-28 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T50,2025-02-27 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,BARANDILLAS LOTE  1,,0,,0,T51,2025-01-11 00:00:00,1,2025-02-28 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T52,2025-02-27 00:00:00,1,2025-03-04 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T53,2025-02-27 00:00:00,1,2025-03-04 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,HONDA,VEREDA BREMEN,SAMARIA,,0,2024-08-01 00:00:00,1,T54, ,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,FILADELFIA,,0,,0,T55,2025-03-01 00:00:00,1,2025-03-05 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T56,2025-03-07 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,ARMERO GUAYABAL,VEREDA MENDEZ,LA VEGA,,0,2024-08-01 00:00:00,1,T57,2025-04-11 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T58,2025-02-08 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T59, ,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,SANTA SOFÍA,,0,,0,T60, ,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T61, ,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,SAN PEDRITO,,0,,0,T62,2025-04-11 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,EL DESCANSO,,0,,0,T63,2025-04-27 00:00:00,1, ,0,,0,,,,0,SI,1,#REF!,#REF!,N/A,1,,0,,,,,,,
,CUNDINAMARCA,GUADUAS,SAN JUAN DE REMOLINO,LOTE SN 10,2024-08-01 00:00:00,1,2024-08-01 00:00:00,1,T64,2025-02-28 00:00:00,1,,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,LOTE SN 11,,0,,0,T65, ,1,,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,CHAGUANI,PUERTO CHAGUANI,,,0,,0,SUB ESTACION  PDO,,0,,0,,0,,,,0,,0,#REF!,,N/A,,,,,,,,,,
,TOTAL,TOTAL,,,1,,1,1,,1.0153846153846153,1,0.9230769230769231,1,0.9846153846153847,1,0,1,0,1,1,0,,0,1,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SI,,,OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,65,,,0,,,,,,,,,,,
