2026-04-15 00:00:00,TEND 1,,,,,,,,,,,,,20,,,,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TERMINADA,,,,,20,,,,,,,,,,,0,,31567312.000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,EJECUT,,,,1,,1,,,1,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,EJECUT,,,,64,,64,,,64,64,64,64,,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EJECUT %,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,22503.14,,,,,,,,,,,,25,,25,717.57346,,25,25,25,25,25,25,25,,,,25,,,,,,,,OPGW IZQ,OPGW IZQ,OPGW DER,OPGW DER,,,,,,,,,,,,,,,,,,,,
Tower,"TRAMO 
TEND","VANO
(m)",Type transport,Foundation,PATA A,PATA B,PATA C,PATA D,EJECUTOR CIVIL,Type,PLATINAS,CONCRETO,COMPACTACION,"% 
CIVIL","% 
SPT","% 
selecc structure","weight
(kg)","Cuadrilla
Montaje","% 
Transport","%
prearma","% 
mounting","% 
Review 
structure",Verticality Torsion,Received by INSTELEC supervision,Reception WSP,Program Reception date,Crossing of line,OPGW,VESTIDA,"VESTIDA 
ACAR","VESTIDA 
OPGW 
IZQ","VESTIDA 
OPGW 
DER",RIEGA F1,RIEGA F2,RIEGA F3,CAJAS DE OPGW,TGFO RIEGA DE MANILA,TGFO RIEGA DE GUAYA,TGCONV RIEGA DE MANILA,TGCONV RIEGA DE GUAYA,,,,,,X,X,X,,,,,,,,,,,,
T039,TEND 2,361.63,,HE,3,3,3,3,SH,A3,,1,1,1,1,1,6394.2,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,"13,2kV",,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T040,TEND 2,351.41,,HE,3,3,3,3,SH,A4,,1,1,1,1,1,7628.95,CRUZ,1,1,1,1,2025-07-09 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T041,TEND 2,350.53,,HE,3,3,3,3,SH,A4,,1,1,1,1,1,7628.95,CRUZ,1,1,1,1,2025-07-09 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T042,TEND 2,363.93,,Z,3,3,3,3,SH,A3,,1,1,1,1,1,6394.2,INST,1,1,1,1,2025-07-09 00:00:00,1,1,,"13,2kV",,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T043,TEND 2,376.83,,Z,3,3,3,3,SH,D5,OK,1,1,1,1,1,10000.02,HG,1,1,1,1,2025-07-21 00:00:00,1,1,,Via Mendez,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T044,TEND 2,417.35,,Z,7.5,7.5,7.5,7.5,SH,D5,OK,1,1,1,1,1,10000.02,HG,1,1,1,1,2025-07-21 00:00:00,1,1,2-AGO',,,1,1,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T045,TEND 2,409.89,,HE,9,9,9,9,AXI,B7,,1,1,1,1,1,13248.63,HG,1,1,1,1,2025-07-21 00:00:00,1,1,2-AGO',"13,2kV",,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T046,TEND 2,318.73,,HE,3,3,3,3,MECT,A7,,1,1,1,1,1,13029.89,HG,1,1,1,1,2025-07-21 00:00:00,1,1,2-AGO',,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T047,TEND 2,257.34,,Z,3,3,3,3,SH,B7,,1,1,1,1,1,12299.43,CRUZ,1,1,1,1,2025-07-16 00:00:00,1,1,2-AGO',,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T048,TEND 2,298.5,,Z,3,4.5,9,6,SH,B6,,1,1,1,1,1,10885.28,CXT,1,1,1,1,2025-07-09 00:00:00,1,1,2-AGO',,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T049,TEND 3,315.27,,Z,6,3,7.5,9,,C5,OK,1,1,1,1,1,10687.49,CRUZ,1,1,1,1,2025-08-21 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T050,TEND 3,366.85,MULAR,Z,3,3,4.5,4.5,MECT,C5,YA,1,1,1,1,1,10888.15,HG,1,1,1,1,2025-08-14 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T051,TEND 3,225.22,MULAR,Z,3,6,6,4.5,SH,A4,,1,1,1,1,1,7795.95,HG,1,1,1,1,2025-08-21 00:00:00,1,1,5-AGO',,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T052,TEND 3,508.58,MULAR,Z,4.5,9,4.5,1.5,MECT,B6,,1,1,1,1,1,11242.61,HG,1,1,1,1,2025-08-14 00:00:00,1,1,5-AGO',,,1,1,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T053,TEND 3,517.32,MULAR,Z,3,6,4.5,7.5,MECT,B7,,1,1,1,1,1,12671.93,HG,1,1,1,1,2025-08-14 00:00:00,1,1,5-AGO',,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T054,TEND 3,558,MULAR,Z,6,7.5,3,3,INST,B4,,1,1,1,1,1,8695.25,HG,1,1,1,1,2025-08-20 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T055,TEND 3,413.38,MULAR,Z,3,3,7.5,7.5,INST,A4,,1,1,1,1,1,8054.7,HG,1,1,1,1,2025-08-20 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T056,TEND 3,504.56,MULAR,Z,3,3,3,3,MECT,A5,,1,1,1,1,1,9069.6,HG,1,1,1,1,2025-08-18 00:00:00,1,1,,"13,2kV",,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T057,TEND 3,221.82,,HE,3,3,3,3,MECT,B3,,1,1,1,1,1,7003.34,HG,1,1,1,1,2025-08-18 00:00:00,1,1,,"13,2kV",,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T058,TEND 3,221.8,,Z,4.5,4.5,4.5,4.5,SH,B3,,1,1,1,1,1,7003.34,HG,1,1,1,1,2025-08-18 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T059,TEND 3,464.64,,Z,4.5,1.5,6,12,,B2,,1,1,1,1,1,6303.19,HG,1,1,1,1,2025-08-18 00:00:00,1,1,,"13,2kV",,1,1,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T060,TEND 3,412.36,MULAR,Z,6,7.5,7.5,6,INST,A7,,1,1,1,1,1,12379.54,HG,1,1,1,1,2025-08-19 00:00:00,1,1,,,,1,1,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T061,TEND 3,394.25,,Z,3,3,3,3,,A60M,,1,1,1,1,1,15546.26,HG,1,1,1,1,2025-08-19 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T062,TEND 3,550.05,,HE,14,14,14,14,,B5,,1,1,1,1,1,9171.39,HG,1,1,1,1,2025-08-18 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T063,TEND 3,1022.06,,HE,14,14,14,14,,AE,,1,1,1,1,1,61748.34,CRUZ,1,1,1,1,2025-09-06 00:00:00,1,1,,"13,2kV",,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T064,TEND 3,203.19,,HE,3,3,3,3,,AE,,1,1,1,1,1,61748.34,CRUZ,1,1,1,1,2025-09-10 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T065,TEND 3,48.9,,HE,,,,,,D4,,1,1,1,1,1,8814.62,CRUZ,1,1,1,1,2025-07-21 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T066 Pórtico PDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRAMO,VANO,,,,,,,,,,,,,,,,HG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEND 0,0,,,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEND 1,6.4639999999999995,,,,,,,,,,,,,,,,INSTELEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEND 2,7.8702700000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEND 3,6.948249999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21.282519999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
