,,,,"CONSOLIDADO ENTREGA DE ESTRUCTURAS ELECTROMECANICA DE LINEA, PROYECTO PDO 220kV",,,,,,,,,,,,,,,,,,
,,,,,,,,,,18,13,,,,,,,,,,,
NUMERO,TIPO DE,OBSERVACION,SPT,ESTRUCTURA,CONDUCTOR,,,FIBRA OPTICA,,FIRMO,FIRMO,,,,,SEGUNDA VISITA,,,,,,
TORRE,TORRE,FORMAATO,SPT,ESTRUCTURA,FASE A,FASE B,FASE C,OPGW IZQ,OPGW DER,HMV,WSP,CAJAS DE OPGW,X,X,FECHA ,,AVANCE,ESTADO,x,x,x,
T044,D5,,,,,,,,,si,si,2,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
T045,B7,,,,,,,,,si,si,,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
T046,A7,,,,,,,,,,,,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
T047,B7,,,,,"* Ajuste de contratuerca Saltachispas fase centro
* Plomar centrar amortiguador
* Fase media vano adelante CORREGIDO",,,,,,,,,2025-11-01 00:00:00,2025-11-08 00:00:00,1,LIBERADA,,,,
T048,B6,,,,"correccion puente , jumper, correcion pines -  5/11/25 CRISTIAN",,,,,,,,,,,2025-11-08 00:00:00,1,LIBERADA,,,,
T049,C5,,,,"* Arreglo de puente fase izquierda, enderezar. 
* Falta  pin fase izquierda vano atrás en tornillo que va entre el soque y la terminal. Aplomo jumper 5/11/25",,se cambio pin vano aadelante,aplomaron amortiguadores vano adelante CRISTIAN CORREGIDO,,,,,,,2025-11-01 00:00:00,2025-11-08 00:00:00,1,LIBERADA,,,,
T050,C5,,,,"Ajuste de contratuerca de Saltachispas, lado izquierdo vano atrás  CORREGIDO","Aplomar, enderezar amortiguadores de fase centro vano atrás.  
Rematar blindaje fase centro .  CORREGIDO","Ajuste de contratuerca de Saltachispas, lado derecho vano adelante.  CORREGIDO",,Aplomar centrar  amortiguadores de fibra OPGW lado derecho vano atrás.  CORREGIDO,,,,,,2025-11-01 00:00:00,2025-11-08 00:00:00,1,LIBERADA,,,,
T051,A4,,,,Faltan salta chispas CORREGIDO,,Faltan salta chispas CORREGIDO,,,,,,,,2025-10-30 00:00:00,2025-11-07 00:00:00,1,LIBERADA,,,,
T052,B6,,,,,,,"Falta llevar dos blindajes para colocar dos
 amortiguadores vano atrás ( los amortiguadores están en la torre) llevar 2 grapas para fijar la fibra derecha Y fijar el acumulador de fibra derecha  CORREGIDO  / PENDIENTE GRAPAS OPGW",,,,2,,,2025-10-30 00:00:00,2025-11-08 00:00:00,1,LIBERADA,,,,
T053,B7,,,,,,,,,si,si,,,,2025-10-30 00:00:00,,1,LIBERADA,,,,
T054,B4,,,,,,,,,,,,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
T055,A4,,,,,apretar tornillos de Silleta centro y voltear cuenca face media que está tomando agua  CORREGIDO,,,,,,,,,2025-10-31 00:00:00,2025-11-07 00:00:00,1,LIBERADA,,,,
T056,A5,,,,,,,,,si,si,,,,2025-10-30 00:00:00,,1,LIBERADA,,,,
T057,B3,,,,,,,instalar un amortiguador vano atrás  CORREGIDO,instalar un amortiguador vano atrás  CORREGIDO,,,,,,2025-10-29 00:00:00,2025-11-06 00:00:00,1,LIBERADA,,,,
T058,B3,,,,,,,,,si,si,,,,2025-10-29 00:00:00,,1,LIBERADA,,,,
T059,B2,,,,,,pin fase derecha parte caliente CORREGIDO,falto 1 desviador de vuelo / Enderezar amortiguador vano atrás OPGW izquierdo / Fijar OPGW a estructura CORREGIDO / PENDIENTE GRAPAS OPGW CORREGIDO,,,,2,,,2025-10-29 00:00:00,2025-11-07 00:00:00,1,LIBERADA,,,,
T060,A7,,,,,,,"Fijar fibra izquierda estructura / PENDIENTE GRAPAS OPGW CORREGIDO
Retirar amortiguador vano adelante OPGW / Falta un desviador de vuelo CORREGIDO  / PENDIENTE GRAPAS OPGW CORREGIDO",,,,2,,,2025-10-29 00:00:00,2025-11-06 00:00:00,1,LIBERADA,,,,
T061,A60M,,,,Tornillos de prolongas tomando agua / Pin face derecha parte caliente CORREGIDO,,,Colillas de fibra para aterrizar CORREGIDO ,,si,si,,,,2025-10-29 00:00:00,2025-11-06 00:00:00,1,LIBERADA,,,,
T062,B5,,,,,,,,,,,,,,2025-10-29 00:00:00,,1,LIBERADA,,,,
T063,AE,,,,INSTALARA DOS SALTACHISPAS,,,,,,,,,,2025-11-06 00:00:00,2025-11-07 00:00:00,1,LIBERADA,,,,
T064,AE,,,,Colocar grillete adicional en las faces vano adelante para que los bombones quede hacia arriba CORREGIDO,,,Amortiguador de fibra instalas uno atrás y uno adelante son 8 y 4 y solo hay 6 y 2  CORREGIDO,,,,,,,2025-11-01 00:00:00,2025-11-05 00:00:00,1,LIBERADA,,,,
T065,D4,,,,Colocar grillete en cadena estabilizadora de face derecha para que el bombón quede frente a la raqueta  CORREGIDO,,,Colocar amortiguador adelante tiene uno y son 2  CORREGIDO,,,,,,,2025-11-01 00:00:00,2025-11-05 00:00:00,1,LIBERADA,,,,
T066 Pórtico PDO,PORTICO ,,,,,,,También en el pórtico debemos de colocar un amortiguador a la fibra Y blindaje CORREGIDO,,,,2,Grapas bajantes  de OPGW completos ,,,2025-11-05 00:00:00,1,LIBERADA,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CORRECTIVO,0,,,,,,,,
,,,,,,,,,,,,,ENTREGAR,0,,,,,,,,
,,,,,,,,,,,,,LIBERADA,65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TOTAL,65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
